MONTH,YEAR,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JUL,1988,495.6,868.1,644.2,364.5,375,313.4,1295.8,363.7,229.8,375.4,299.9,573.1,288.5,411.3,413.8,273.5,502.8,1432.1,293.6,314.1,301.6,540,170.6,286.1,356.1,178,495.8,276,831.7,102.6,656.2,490.9,485,313.6,112.6,318
AUG,1988,354.2,815.6,773.4,459.4,351.1,269.8,832.6,338.1,204.3,365,292.6,245.5,222.5,304.7,165.7,276.1,379.8,664.4,240.9,165.7,245.4,407.4,219.5,268.6,234.3,217.6,110.8,251.3,990.5,149.8,341.7,390.8,286.6,278.9,73.1,412.7
SEP,1988,603.3,486.3,329.6,153.2,167.8,277.5,451.9,107.5,82.3,102.3,207.1,190.4,183.4,360.2,308.6,127.8,451.7,617.9,240.9,324.8,411.9,298.6,214.2,252.5,434.1,186.1,131,199.2,446.6,136.1,313.4,202,230.1,146.5,46.8,139.6
OCT,1988,271.4,416.4,168.3,33.7,28.7,78.6,122.7,19.9,10.3,54.7,100.4,11.2,0,2.2,5.4,38.7,68.5,66.9,28.9,27.5,18.5,298.6,16.1,63,0.4,42.8,0.8,30.6,76,71.8,50.5,16.6,86.4,59.5,3.7,14.9
NOV,1988,583,34.2,74.3,1.5,0.4,5.8,2.4,0,0.1,0,39.5,0,0.1,4.9,7,2.6,67,0,82.7,1.9,7.7,75.3,2,1.6,0.7,61.3,0,5.9,18.4,117.6,2.4,0.9,4.3,0.4,0,0
DEC,1988,69.9,13.1,5.9,13.8,0.1,24.6,11.3,2.2,0.7,18.5,0.5,0,12,123.5,93.6,1.6,31.1,0,5.8,4.9,3.5,4.3,18.8,0,33.5,30.7,0,19.9,5.5,33.1,7.2,63.7,0.3,0.1,0.1,9.1
JAN,1989,56,52.6,10.5,8.9,0.1,0.1,0,0.4,6.8,14.5,0.4,1.3,40.1,111,74.9,1.9,10.3,0,20.6,0,0,0.7,0,0,45.7,0,1.8,0,21,2.7,0,91,0,2.3,8.6,24.6
FEB,1989,12.8,171.9,51.6,8.7,0,0.1,0,0,0.1,4.3,4.9,0,0.4,62.5,78.2,0.3,0,0,0,0,0,27.1,0,0.1,4.1,0,0,0.1,41.6,0,0,14.7,0,0.2,0,1.1
MAR,1989,68.1,92.9,30.4,6.9,10.5,37.4,8.4,18.5,2.2,9.3,6.1,0,11.7,89.2,134.1,2.8,30.1,0.6,4.4,16.3,42.3,17.2,21.6,12.9,17.6,25.4,0.2,12.5,45.8,27.9,39.2,30.3,23.6,9.4,1.3,15.4
APR,1989,42.6,388.7,183.4,0.2,1,7.3,22.4,0,0.1,0,5.4,0,0.6,39.4,114.6,0.1,141.5,1,93,3.3,2.8,139.1,10.7,5,1.7,2.2,0,24,58.1,40.8,1.9,9.9,0.1,0.2,1,0
MAY,1989,379.3,239.7,260.1,100.3,8.9,31.9,53.6,3.4,0.4,7.3,173.6,0.1,2.3,92.5,139,66.4,169.4,4,106.7,11.8,6.4,206.9,28.5,81.2,4.9,24,0,53.3,358.4,53.6,4.9,28.5,2,2.9,0.2,1.6
JUN,1989,414.9,484.2,488.8,152.9,226.8,128.3,982.5,190.3,52.5,138.4,318.2,112.5,31.6,59.7,69.1,246,657.5,733.1,473.5,153.5,237.9,367.1,102,332.5,39.6,50.4,134.5,145,551.3,57.4,238.5,117.9,236.5,129.8,25.8,88.5
JUL,1989,380.1,640.7,747,446,372.1,329.6,914.4,197.7,130.6,370.7,414.5,351.2,90.8,291.1,293.8,285.6,450.7,943,387.5,271.9,336.2,470.6,199.6,271.7,164.1,245.2,256.6,286.3,629.8,154.9,406,333.4,240.6,150.5,81,132.1
AUG,1989,413.2,305.3,267.9,171.9,353.7,235.5,829.3,358.9,283.7,194.7,291.4,298.3,152.5,247.3,114.9,258.9,285.5,704.9,167.3,152.1,245.7,393.6,64.1,369.9,151.9,26.6,60.6,135,407.8,39.7,277.7,386.6,330.1,369.5,109.1,222
SEP,1989,215.9,526.5,425.8,330.9,173.9,189.6,234.7,125.3,33.1,207.4,284.2,58,68.7,64.9,39.3,219,271.1,300.5,216.3,181.6,170,376.3,203.3,196.1,20.7,146.8,41.3,149.4,593.6,137.3,165.4,183.5,118,88.2,20.3,153.6
OCT,1989,291.8,281.7,194.1,28.2,10.4,55.5,138.1,1.4,0,7.9,105.5,1.5,0.2,7.3,40.3,39.6,308,80.7,172.4,22.9,17.6,352.9,23.3,28.6,0.3,51.2,3.1,86.9,98.9,148.6,17.4,12.3,15.2,0.6,0.2,0.4
NOV,1989,255,77.9,16.2,1,5.2,13.2,31.9,1.5,0.5,1.8,3.7,0,5.2,52.9,50.7,8.6,92.9,3.6,69.2,1.4,0.5,5.3,8.9,0,8,75.7,0,15.7,30.7,154,1.4,17.3,1.6,0,0.2,4.1
DEC,1989,4,19.6,6.5,14,24.6,1.6,0.3,23.6,0.5,13.6,18.3,0,12.4,59.4,67.1,19.7,5.6,0,3.5,1.7,9,2.3,14.1,1.7,21.8,46.1,0,5.2,17.6,39.8,8.6,38.2,30.1,4.8,0.5,14
JAN,1990,13.4,54.8,19.2,0.3,0.5,10.3,1.7,0.8,0,0,2.2,0,0,36.2,110.2,0.8,14.9,0,38.9,2.6,2.9,0.2,4.8,0.4,1.9,2.1,0,4,3.8,84.8,4.2,0.8,3.5,0.7,0,0
FEB,1990,0.2,112.4,46.9,30.2,18.5,81.1,0,31.1,27.5,42.6,62.2,3.3,79.5,161.2,206.5,48,4.8,0,0.3,0.2,0,32.5,0,50,57.7,5.5,2.3,0.1,109.9,10.2,4.1,97.1,6.8,9.3,25.2,67.5
MAR,1990,24.6,149,96.7,13.8,9.2,84.5,0.1,2.2,1,9.5,119,0.2,4.9,217.7,309.8,22.2,18,0.1,21.4,0,0,197.6,0.1,89.8,32.7,16.9,0.4,5,80.1,36.2,35.2,91.3,8.6,1.3,0.2,9.2
APR,1990,87.5,289.9,333.7,14,7.4,24.2,5.2,2.1,0.7,1.8,79.3,0,2.2,52.5,98.4,15.4,41.8,0,0,0.2,0,274.9,7.8,57.3,4.2,8.1,0,15.2,158.3,24.3,1,20.4,3.9,1,1.4,0.7
MAY,1990,424.6,366.2,304.1,83.3,122.3,507.7,343.2,32,18.9,42.3,147.6,32.9,21.9,61.8,28.6,90.6,488.5,193.9,191.1,78.2,142.1,314.6,127.3,178.1,13.8,138.8,5.9,115.1,358.2,94.9,159.8,81.6,71.3,29.4,17.7,29.8
JUN,1990,291,857.2,513.8,156.6,293.6,107.4,997,315.2,75.4,135.7,268.2,79,25.3,80.2,69.1,197.4,528.6,802.1,181.6,150.5,221,380,129.7,237.2,18.6,48.9,32.9,130.1,554.7,28.9,245.1,120.3,303.2,161.2,19.6,45.9
JUL,1990,213.2,534,446.4,485.5,393.9,102.5,1110.8,334.7,229,488.8,520.2,221.6,201.2,302.3,193.3,430.7,635.4,873.7,334,227.3,131,387.9,96.2,282.9,200.3,62.3,16.9,148.5,814.1,40,180.2,473,326.3,265,164.4,334.2
AUG,1990,293.3,352.8,348.8,204.4,375.9,223.2,1087,285.7,253.3,212.2,236.3,530.5,137.7,221.8,133.5,230.8,370.8,1164.2,123.5,294.6,365.9,344.7,170,371.4,188.8,100.1,259.4,193.8,916.6,80.1,471.1,413.6,507.3,384.2,169.2,195.9
SEP,1990,310.4,625.5,441.1,201.2,268.2,158.5,265.4,331.3,162.3,153.9,300.7,226.2,194.5,162.8,115.6,226,103.3,323.2,98.9,94.9,104.2,339.4,64.2,260.7,194.4,184.7,70.1,59,440.6,119.6,132.1,179.1,121.5,258.3,42.9,250.4
OCT,1990,133.6,240.6,208.3,49.7,143.6,248.7,215,37.3,6.1,12,174.2,16,2.7,15.6,38.6,128.1,323.2,190,160.4,154.9,223.1,168.2,95.6,245.6,0.6,186,18.8,128.5,115,194.1,180.2,14.6,143.7,23.2,2.5,3.7
NOV,1990,291.1,2,7,0,9.4,58.9,93.6,0,5.1,0,47.9,4.8,14.1,10.1,10.5,14.2,158.8,20.8,155.4,17.2,5,99.3,23.3,130.7,5.6,166.4,0.1,47,0.4,144,12.4,6.1,1.6,2.8,1.1,3.5
DEC,1990,100.3,19.7,5.2,0.2,1.4,4.3,1.5,7.5,0.8,7.4,3.5,3.8,19.2,140.6,259.7,0.3,5.2,0,5,1.9,2.9,42.9,0,1,36.1,10.9,1.1,2.2,13.7,46.1,0.1,67.1,7.1,7.6,0.8,17.4
JAN,1991,14.1,24.9,13.7,14.5,10.6,19.6,0.1,3.5,0.2,8.6,27.8,0,0.1,24,71.3,19.3,10.9,0,12.3,0,0.3,27.5,0.2,20,0.1,11.5,0,1,41.5,24.2,21.7,13.2,6.3,0.1,0.2,2.9
FEB,1991,3.8,86,30.2,6.3,1.6,3.3,0,7.8,2.5,10.9,11.4,0,19.7,143.1,216.5,8,4.4,0,0,0.1,0.4,41.9,0,2.8,39.8,0,0,0.1,24.2,4.6,4.1,58,1.6,3.6,4,18.9
MAR,1991,28,110.7,62.1,7.9,9.2,6.6,0.3,16.1,0.4,7.9,41.7,0,2.9,120.6,176.1,31.1,33.2,0,18.7,0.3,0.4,64.1,1.3,21.8,16,6.2,0,2.6,45.8,9.7,8.9,52,4.6,1.3,0,7.5
APR,1991,132.9,193.3,175.7,8.9,3.7,17.9,47.7,3.4,11,3.9,34.5,0,13.2,104.5,233.2,11.2,97,6.4,12.3,12.2,9.8,253.5,47.3,29.6,34.8,26.3,0,64.2,102.7,37.4,21.6,51.6,4.7,3.3,13.6,2.9
MAY,1991,191.3,423.7,495.8,31.2,4.7,24.5,95.9,2.6,3,4.1,66.1,0,6,69.7,93.5,33.7,113.4,14.7,68,19.2,9.4,619.4,59.8,36.2,10.8,32.4,0,108.6,283.7,29.5,34.4,21.2,3,1.3,7,2.7
JUN,1991,165.7,608.3,517.8,176.2,143.8,215.5,939.9,98.6,18.1,98.2,257.4,55.6,50.4,67.1,75.6,171.3,1096.1,759.2,604.3,293.8,250.1,456.6,235.7,149.5,73.5,187.6,13.3,248.9,691.4,128.1,194.5,81.8,168.9,96.4,19.3,44.8
JUL,1991,547.2,607.7,440.5,179.7,446.2,145.3,1501.7,319.3,274.6,123,381.2,440.8,55.3,141.6,162.8,252.9,905.5,1461.4,241.1,318.1,222.4,297.3,155.6,458.5,86.8,79.8,155.6,261.9,592.6,54.7,268.8,219.8,348,344.7,60.6,108.6
AUG,1991,486.5,603.4,388.2,324.2,411.2,134.4,896.5,488.1,214.4,395.9,331.3,133.8,187.9,258.3,204.4,384,465.5,598.8,253.8,143.9,49.7,326,94,439,144.3,101.6,44.2,165.5,500.9,71.7,122,346.7,255.4,262.2,55.5,406.2
SEP,1991,489.9,484.5,437.3,270.5,135.1,265.7,79.5,67.3,43.1,201.6,249.2,41.8,36.9,128.5,148.9,274,48.5,92.7,45.7,67.3,38.5,387.3,67.6,181.5,41.7,99.9,5.4,115.8,689.5,114,100.8,126.4,23,25.1,17.1,124.7
OCT,1991,287.6,189,226.2,7.2,37.9,148.7,111.8,5.1,0.3,0.2,125.6,0,1.4,2.2,10.6,29.4,307.8,20.3,222.7,21,9.1,291.4,49.6,93.5,1,191,0,192.5,67.8,225.1,29.4,0.5,9.6,0,0.1,0
NOV,1991,130.1,22.2,9.4,0,9.3,132.4,45.6,2.9,5.2,2.7,15.6,0.7,3.8,4.3,5.6,1.9,99.9,0.8,75.5,4.7,10.9,28,8.9,32.9,0.2,219.6,0,60,1.7,234.4,36.8,10.1,12.1,3.8,0.1,7.9
DEC,1991,58.5,80.8,41.1,19.2,7.6,8.3,0.7,2.1,5.9,18.3,67.5,0,16.2,40.9,50.5,34.2,2.3,0.3,28.6,0.1,0,58.9,0,7.3,26.8,11.7,0.3,0.1,30.4,21.4,6,39.4,1.5,3.6,1.6,21.7
JAN,1992,75.9,33.2,14.7,2.6,0.1,13.1,0,0,7.1,9,14,0.8,20.3,123.9,161.9,2.3,2.4,0,4,0,0,4.4,0,6.1,38.8,7.7,1.8,0.2,10,3.1,4.8,71.3,0.2,0.1,9.6,14.2
FEB,1992,10.9,128.9,46.3,3.1,0.3,4.3,0,0,2.3,8.7,49.5,0,16.4,75.8,91.2,6.1,0.9,0,0.1,0,0,67.1,0,16.9,34.2,0,0.2,0.3,46.7,0.2,0,32.5,0.5,0.2,7.4,9.7
MAR,1992,0,184.6,62,0.1,0.5,0,0,0.5,2.9,0.3,0.1,0,0.5,199.4,194.7,0.6,0.1,0,0,0,0,23.3,0,1.7,11.9,0,0,0,26,0,2.5,46.1,0.4,0.1,1.3,4
APR,1992,5.1,196.4,114.5,2.6,1.9,9.1,17.2,0.4,0.5,1.2,25,0,1.2,36.9,86.8,8.8,43,0,3.3,2.1,3.5,95.7,12.7,16.1,2.2,17.1,0,28.6,84,22.5,10.7,2.9,2.9,0.1,0.7,0.3
MAY,1992,241.7,239.2,292.3,61.1,5.4,45.5,77,7.1,10.4,14,127,0.9,7.8,83.9,110.7,51.8,218.4,6.2,128.1,5.1,6.7,250.2,48.1,66,8.6,41.5,0.1,78.9,253.4,58.3,20.6,31.5,5.7,5.8,5.5,7.9
JUN,1992,392,522.9,450.9,83.9,137.1,75.6,873.2,38.4,18,51.4,239.9,132.8,17.2,53,44.6,129.8,819.3,493,346.6,146.9,217.9,343.8,108,177.2,24.7,39.3,45.1,269.4,328.1,66.4,180.5,117.5,167.9,51,8.1,25.9
JUL,1992,348.2,557.2,491.4,284.8,401.3,208.4,1087.5,295.4,244.9,243.3,407.6,256.3,124.5,277.5,168.8,295.7,767.8,822.9,363,190.6,79.4,439.1,100,394.9,144.5,90.5,343.2,202.1,736.3,77.9,180.5,254.4,241.3,211.8,126.2,196.9
AUG,1992,372.3,294.3,339.3,219.2,419.1,207.2,1097.5,465.7,260.2,233.2,254.1,244.4,171.6,374,306.1,265.2,508,1093.1,373.3,248.6,203,397.2,121,385.1,146.5,89.9,111.9,215.9,458,59.9,271.8,385.1,565.5,314.4,117.2,306.1
SEP,1992,323.7,328.2,296.9,85.9,180,145.8,354.3,235.6,125.8,191.1,226.6,244.1,59,127.6,226.6,148.5,297.5,343.4,95.1,132.1,140.4,323.6,85.1,191.8,50,73.5,88.7,145.5,276.4,157.3,99,152.4,116.1,105.9,143.4,179.4
OCT,1992,257.3,201.5,125,52.4,7.9,147.5,133.6,7.9,42.2,103.9,66.2,19.2,3.8,7,22.6,22.5,290.7,79,120.4,55.6,52.2,243.2,68,63.7,3.2,89.3,9.5,113.5,125.5,123.9,47,9,35.9,62.7,5.4,67.4
NOV,1992,64.3,11.5,14.3,1.4,3,144.4,241.8,0.1,8.5,7.3,4.4,2.5,7.2,19.4,36.4,1.6,287.6,2.8,69.3,10.1,23.5,25.4,125.4,9.9,13,142.7,0.2,146.5,5,297.2,46.1,5.4,12.4,2.2,0.9,8.9
DEC,1992,7.2,8.9,12.1,0.4,0,0,0,0,0.7,0,0.2,0,0,4.7,27.6,0.3,3.7,0,31.7,0,0,8.5,0,0,0.5,4.6,0,0.2,9.5,52.1,0,0,0,0,0.1,0
JAN,1993,14.9,95.7,73.3,9.4,0,2.2,0,0,0.2,1.7,0.3,0,4.5,109.2,114.9,1.7,0,0,1.2,0,0,11.1,0,0,8.5,0,1.5,0,37.6,0.1,4.9,77.1,0.5,0,2.2,3.7
FEB,1993,0,125.4,96.9,4,5.3,9.8,0.1,12.2,8.8,5.1,3.8,1.7,16.1,69.7,123.6,2,17.8,0,0.5,0.1,1,139.3,0.1,1.3,12.7,6.7,4.8,0.5,35.2,7,2,70.3,3.6,5,3.3,13.5
MAR,1993,129.9,134.4,86.1,24.5,7.1,16.6,6.7,15.8,4,23.2,40.8,0.1,11.3,164.1,233.1,16.1,20.1,0.6,0.2,3,5.6,92.8,6.5,11.4,29.5,17,0,6.2,58.8,9.9,12.9,162.8,17.9,7.2,2,21.2
APR,1993,43.7,130.6,138.5,24.5,4.7,26.6,21.7,1,4,8.9,78.6,0,5.4,20.6,31.8,32,66.5,0.1,0.2,5.7,1.7,155.4,11.4,56.1,9.4,11.3,0,22.9,136.9,11.2,13.1,19.8,2.8,0.6,3,1
MAY,1993,181.4,408.3,374,51.1,10,71.7,68.3,5.5,4.5,33.9,116.2,0,8.8,56.7,106.5,50.5,159,11.4,56.5,11.5,9.1,499.4,37.6,82.2,13.3,49.3,0,66.4,320.5,46.6,29.4,71.7,5,2.9,5.9,15.2
JUN,1993,257.1,569.5,619.5,154.8,167.2,73.2,591.2,105.6,98.5,162.5,328.5,133.2,42,70.9,93.6,203.2,657.1,587.7,276.1,147.6,87.5,539.6,69.3,257.5,38.7,41.9,41.4,149,449.6,68.2,83.9,144.7,145.8,113.5,48.6,82
JUL,1993,391.7,619.2,576.9,209.1,351,166.2,1397.3,252.9,262.8,142.6,280,557.4,274.6,386.9,324.7,214.4,776.1,1394.1,346.7,289.2,216.3,530.9,134.9,328.5,352.6,109.5,140.6,204.7,723.9,60.3,291.8,309.4,365.6,337.7,172.1,156.6
AUG,1993,226.7,691.9,477.5,357.3,299.5,99.3,742,288.1,92.1,206.6,357.7,69.5,35.6,89.1,63.4,245.9,301.9,648.7,154.4,162.4,166.2,428.9,128.1,327,17.4,123.7,4,189.9,521.6,88.8,146.4,282.3,222,236.9,6.8,136.9
SEP,1993,437,323.1,296,320,298.6,172.9,214.3,415.9,113.9,240.7,421.4,147.8,125.4,143.1,84.3,372.4,88,597.2,161,162.6,121.8,302.9,94.8,287.9,98.4,128,70.1,105.3,352.2,96.7,187,447,171.3,300.5,47.9,326.8
OCT,1993,299.3,228.6,130.3,34.3,60.1,196.2,347.4,21.7,5.9,7.8,94.2,30.1,0,0.3,13.2,49.6,431.2,227.6,131.6,192.8,136.3,165.4,201.9,88.7,0.3,172.7,30.5,234.5,228.8,214.5,100.9,1.5,77.7,22.1,1.5,15.1
NOV,1993,189,14.7,8.2,19.3,1.9,17.5,40.8,0.1,0.4,0.5,38.2,1.5,0,17.7,54.4,16.2,153.8,9.4,280.5,10.7,5.8,16,10.8,7.5,2.1,132.3,17.2,25,28.4,315.9,0.1,7.4,0.5,1.3,0.2,0.1
DEC,1993,66.7,7.5,2,0.1,0,17.5,51.5,0,0.1,0.3,0,0,0,0,0.2,0,46.2,4,40.8,34.3,55.1,0,36.4,0,0,94.5,2.5,33.7,2.4,163.1,13.2,0,10.4,4.1,0,0
JAN,1994,7.2,48.2,26.6,28.3,3.5,7.2,3.5,9.5,23.3,22.2,23.8,7.2,20.1,88.7,139.9,17.7,24.3,1.3,12.4,3.1,3.2,9.5,4.2,4.1,27.6,5.3,1,11.7,49.6,7,8.6,56.7,10,14.7,10.7,24
FEB,1994,35.5,72.6,42.5,29.1,8.4,17.4,0,10.7,0.9,24.7,48.8,0,11.3,124.7,133,23.8,27.1,0,66.6,0.1,0.1,30.1,0.3,28.6,23.3,13.2,0,2.4,55,27.6,12.5,84.2,9.8,5.4,0.3,17.3
MAR,1994,129.4,215.3,157.2,1,0,3.1,6.3,0,0.5,0.1,7.3,0,0.6,29,82.3,0.6,18.1,0,34.8,0.6,0,219.3,0.2,6.2,2.8,2.1,0,3.9,114.1,5.5,0,11,0.1,0.2,0.4,0
APR,1994,154.6,232.1,161.3,7,5.2,30.6,72.9,9.9,7.1,9.5,63.7,0.1,7.6,131.3,136.6,20,154.5,12.5,88.8,21.8,14.9,134.7,35.3,48.1,6.4,25.1,0,54.6,126.6,48.3,21.5,69.8,9.6,5.5,9.9,12.4
MAY,1994,403.2,382.9,282,32.7,9.1,49.2,44.1,1,4.5,7.6,98,0,8.5,65.5,99.2,29.2,141.3,11.7,78.9,23.8,14.3,130.7,16.8,46.3,7.2,43.8,0,70.9,243.3,66.6,20.4,75.6,2.2,1.3,2.7,6.5
JUN,1994,386.3,416.1,477.6,130.9,413.4,62.5,1221.1,264.7,116.6,127.5,310.1,320.7,51.3,114.2,107.9,391.3,845,784.8,361.1,253.2,110.6,256.2,101.8,299.4,29.5,34.4,99.4,184.9,388,38.6,115.3,112.1,228.6,221.1,31.9,72.5
JUL,1994,569.7,233,308.6,217.7,575.7,218.3,1748.2,550.2,319.3,230.8,426.1,490.6,275.8,367,344.7,451.6,955.5,1168.5,240.2,332.9,117.1,305.7,146,474,167.4,91.5,403.1,336.4,357.3,75.3,308.2,476.9,508.2,352.9,188.5,364.3
AUG,1994,460.5,280.2,308.7,257.6,447.7,156.5,907,512.1,259.8,300.1,294.4,370.1,160.6,311,329.1,360.7,479.9,654.4,219.7,188.4,162.8,335.7,95.9,463.9,222.2,107.8,137.5,132.6,396.1,66.1,256.3,428.2,343.3,385.8,100.6,290.2
SEP,1994,775.1,225,178.5,226.5,212,137,268.1,150.5,106.8,177.5,166.1,343.7,28.2,92.7,88.6,162.8,212.6,406.5,76.2,118.9,63.4,161.6,38.1,292.6,89,38,231.6,96.4,302.1,84.2,53.9,98,225.4,187.2,70.4,19.7
OCT,1994,137.5,161.6,147,32.9,76.9,257.6,336,24.8,0,10,82.9,2,0,8.5,32.4,118.9,428.4,137.9,213.5,66.2,64.3,102,200.3,69.1,0.4,207.4,0.2,238.6,84.3,230.6,143,5.3,83.3,2.6,0,0
NOV,1994,180.3,14.1,15.9,4.4,2.7,213.4,28.6,0.4,0.4,0.3,9.6,0.1,0.1,0.1,2.7,2.7,117.6,2.2,153.7,12.6,32.9,27,4.2,12.3,0,101.1,0,24.8,8.5,229.1,36.2,1.7,6.2,2.9,0,0
DEC,1994,23.8,6.2,15.4,1.2,0,2.1,0.5,0,0,0,0,0,0.2,77.6,236,0.1,6.5,0,1.2,0,0,0,0,0.1,5.1,20.8,0,0.5,2.2,27,0,22.3,0.4,0,0,0.1
JAN,1995,51.8,20.6,8.7,6.8,43.5,27.5,3.7,24.1,29.8,19.2,20.2,2.2,38.8,61.5,101.4,13.7,10.3,3.5,131.3,20,46.9,5.4,28.3,50.1,50.8,28.1,0,4.2,17.9,23.8,98.7,98.9,49.8,14.7,8.2,30.1
FEB,1995,12.5,79.9,39.7,11.6,2.6,2.5,0,8.9,2.9,23.1,30.1,0,21.7,140,210.2,9.7,6.5,0,18.5,0.2,0.2,36.5,0.1,17.6,56,4.8,0,0.2,41.1,3.3,0.5,123.6,5.5,0.8,8,11.2
MAR,1995,12.1,84.3,42,2,24,12,0.7,47,7,1.9,8.7,0.2,9.8,96.7,129.3,22.4,37.3,0,0.3,5.4,23.6,52,5.4,21.1,17.2,12.8,0.2,3.5,50.6,16.7,22,79.9,45.4,15.6,2.2,7.9
APR,1995,21.1,198.8,145.7,0.1,5.2,19.8,21.1,3.2,0.7,2,10.1,0,4.9,85.8,124.9,4.3,134.9,3.3,315.4,6.7,11.4,68.7,11.8,23.6,8.8,10.4,0,32.1,84.2,39.5,16,41.4,8.8,1.4,3,3.7
MAY,1995,314.8,363.9,299.1,6.7,24.9,257.8,137.8,2.1,0.8,2.1,202.9,0,0.6,44.2,74.4,30.3,355.6,15.3,179.6,24,17.6,254.5,33.1,293,1.3,136.4,0,70.9,349.6,139,35.6,34.6,8,1.3,1.3,0
JUN,1995,450.4,686.9,663.3,162.9,119.5,80,535.8,81,22.6,133.8,185.4,8.5,47.2,66.5,56,134.2,493.4,345.9,286,63.6,135.5,425.8,75.5,112.3,51,69.4,3,79.6,859,64.6,135.4,138.5,156.1,67.2,18.8,72.2
JUL,1995,501.4,714.5,558.4,227.5,478.3,225.3,1375.7,361.9,275.4,173,401.1,451,115,332.4,408,312.3,702.5,1171.2,486.7,253.1,186,403.6,140.9,322.6,160,156.1,259.1,248.4,775.3,86.7,282.1,358.3,335.8,320.2,194.8,188.3
AUG,1995,555.8,328.8,543.3,335.7,356,212.7,685.1,355.3,310.8,290.4,413,127.4,405.3,345.1,241.3,301.5,457.3,606.5,384.8,82.7,96,495.9,95.9,316.6,375.5,182.1,45.4,179.8,539.2,121.1,209.2,430.7,165.9,252.1,101.6,389.2
SEP,1995,426.4,425.1,404,279.1,137.7,128.6,348.5,128.7,92.4,187.2,411.5,71,175.3,284.5,140.1,395.9,280,419.5,71.8,194.3,137.9,312.5,104.3,202.7,145.6,94,42.5,135.6,638.5,94,141.1,282.8,201.3,163.6,16.3,122.1
OCT,1995,294.7,82.4,80.7,11.4,69.6,329.6,192,5.2,6.5,2.4,86.4,22.9,0.2,5.4,38.8,37.5,198.3,196.5,81,121.5,153.2,129.7,148.9,149.7,1.3,130.9,23.9,98.8,99.7,143.1,332.7,5.1,100.5,19.6,13.6,0.1
NOV,1995,452.9,51,94,44.4,11.2,50.1,57.4,2.1,0,16.7,160.5,0.3,0.1,13.9,45.6,84.7,182.6,4.4,72.2,4.9,1.2,155.3,18.2,103.4,1.4,45,0,30.1,88.6,107.9,12.6,2.1,0.1,0,0,0.2
DEC,1995,21.6,32.6,7.1,23.8,8.2,6.1,0,12.8,5.3,8.4,6.2,0.7,0.3,17.7,49.6,20.1,0.1,0,3.3,0,0,0.2,0,1.3,0.3,4.3,0,0,14,3.7,0,20.2,0.3,8.1,0,1.9
JAN,1996,52.2,35.7,12.8,26,11.1,3.4,0.3,39.1,3.8,55.6,11,1,16,118.6,127.5,17.1,2.8,0.1,44.7,0.1,0.1,8.1,0,14.6,32.7,0,0.4,1.1,30.9,7.6,0,49.7,2.2,10.3,2.2,24.8
FEB,1996,4.8,56.2,23.2,21.7,5.6,5.8,0,15.9,5.2,39.6,13.2,0,30.5,117.8,115.7,24.4,9.1,0,1.1,0,0,30,0,10.1,38.9,0.9,0,0.2,34.2,3.6,7.9,89.6,3.7,4.7,3.2,55.8
MAR,1996,3.4,163.6,101.6,0.2,3.6,4.4,0.4,3.5,1.4,0.6,10.4,0,11.6,112.5,213.6,4.9,14.4,0,1.6,0.1,0.3,153.9,0.5,11.7,19,2.4,0,1.5,59.5,5,4.7,67.1,3.6,2.2,2.5,2.7
APR,1996,122.7,171.4,99.2,3,4.8,23.7,20.3,1.9,3,2.5,39.2,0,0.6,50.6,85.4,8,124.3,0.6,17.4,4.1,10.6,97.3,20.5,28.1,2.8,36.6,0.1,49.8,85,91.5,31.1,28.4,9.3,0.4,2.3,0.4
MAY,1996,298,398.2,415.6,18.2,2.2,23.8,26.2,0.9,8.5,1.2,67.5,0,5.1,68.5,125.5,18.5,74.3,1.4,50,5.7,1.6,284.2,25.1,28.6,3.7,32.9,0,52.8,401.7,34,13.6,18.3,0.7,1.4,22,3.7
JUN,1996,559.2,316.2,397.7,220.1,195.2,236.8,787,67.2,118.2,145.1,336,123.9,109.4,173.7,182,302.7,572.4,535.7,427.1,162.3,55.8,314,138.5,211.9,118.6,270.7,137.1,204.4,334.6,125.3,115.9,181.6,64.4,48.6,143.2,86.1
JUL,1996,335.5,593,499.6,238.5,352.4,206.9,1122.6,312.4,202.6,201,251.3,374.6,85.8,210.6,136,274.1,696,1232,335.3,281,186.6,395.1,98.2,264.8,87.9,72.2,162.1,187.3,863.6,55.4,264.1,308.1,266,438.5,47.6,210.3
